Reviews,Positive,Negative,Neutral,New sentiments
best smart phone price range compare phone 2023 see overall build quality performance camera autofocus video action mode awesome50 extra ram compared iphone 13 feature best time upgrade iphone 14  happy see low light photo amazing,0.367,0.041,0.592,positive
good,1.0,0.0,0.0,positive
nice camera battery drain fast specially video recording,0.286,0.0,0.714,positive
amazing,1.0,0.0,0.0,positive
damn great phone camera really good battery last long enough super smooth even though 60 hz xdr display video action mode insanely stable crispthe night mode take really good shot jn low light condition whole apple environment seamless shifted android iphone barely took time since ipad mac already click phone ready go,0.281,0.071,0.648,positive
amazing picture quality awesome design mind blowing display fabulous performance specially handy phone,0.531,0.0,0.469,positive
nice ui fast,0.583,0.0,0.417,positive
awesome 👍,1.0,0.0,0.0,positive
performance really good camera quality fine,0.555,0.0,0.445,positive
awesome❤️🙌😌display camera battery processorjust wow✨💗☺️,0.0,0.0,1.0,neutral
ultimate,0.0,0.0,1.0,neutral
amazing product love design feel awesome performance smooth,0.708,0.0,0.292,positive
nice look badiya phone one year use great working,0.496,0.0,0.504,positive
purchase first day sale bbd23will share full review usei shifting android iphone,0.167,0.0,0.833,positive
super camera,0.796,0.0,0.204,positive
used iphone 12 mini upgraded iphone 14 camera quality awesomefull day battery backupsuper retina display high dynamic range awesomein term camera battery life big upgrade,0.098,0.0,0.902,positive
nice product camera quality amazing everything seems realphone fast,0.485,0.0,0.515,positive
excellent product 🥳,0.787,0.0,0.213,positive
awesomei switch iphone 14 iphone 12 powerful chipset give smooth performance lag fancy ui delivers best camera best battery giving full day speaker sound wide clear must buy,0.399,0.059,0.542,positive
apple device  mean get good old io  performance issue  supper ram power management  slightly distasteful remark would camera ,0.146,0.0,0.854,positive
best phone iphone 13 difference 13 14,0.412,0.0,0.588,positive
decent purchase,0.0,0.0,1.0,neutral
excellent build quality much faster smoother,0.425,0.0,0.575,positive
awesome build quality feature,0.577,0.0,0.423,positive
excellent camera 😍,0.787,0.0,0.213,positive
love iphone dream iphone💜😍✌️🖤,0.756,0.0,0.244,positive
thanks flipkart new iphone without problem got im finally shifted 5 year later  redmi 5 pro new iphone 14 really hard work thing last 8 month  thanks 😊 im happy 😁 ❤️,0.332,0.048,0.621,positive
4 5 phone handy superb,0.672,0.0,0.328,positive
excellent camera😊,0.787,0.0,0.213,positive
best class aspect top notch performance display camera everything,0.462,0.0,0.538,positive
loved 👍,1.0,0.0,0.0,positive
really overall great product,0.593,0.0,0.407,positive
best phone market,0.677,0.0,0.323,positive
awesome camera,0.804,0.0,0.196,positive
wow😍😘,0.0,0.0,1.0,neutral
