Reviews,Rating
"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..",5
Good,5
Nice camera but battery drain fast specially on video recording,5
Just amazing!,5
"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",5
"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",5
Nice UI and Fast,4
Awesome 👍,4
Performance is really good and camera quality is fine,5
Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️,5
Ultimate,5
"Amazing product, love the design and the feel is awesome Performance is very smooth.",5
Nice look badiya phone after one year use great working,4
Purchase on First day sale in BBD23.Will share full review after use.I am shifting from Android to IPhone.,5
Super camera.,5
I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.,5
"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.",5
Excellent Product 🥳,5
"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!",5
"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera .",5
Best phone but same as Iphone 13. There is no difference in 13 and 14.,5
Decent purchase:),5
Excellent build quality. Much faster and smoother,5
awesome build quality and features,5
Excellent camera 😍,5
Love IPhone Dream IPhone..💜😍✌️🖤,5
Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️,4
4 out of 5 Phone was so handy and superb,4
Excellent camera😊,5
"Best in class in all the aspects. Top notch performance for display, camera and everything.",5
Loved it 👍,5
Really an overall great product,5
Best Phone in market.,5
Awesome camera,5
Just wow😍😘,5
"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5",5
I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great,5
Very good phone,5
My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️,5
This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for it,5
Best in the market. Camera quality awesome Battery easily goes for a daySpeakers are really good.,5
Value for money product if you get the deal around 65 k .,5
Nice one,5
Love it,5
I'm happy with the phone and the deal I got from the Flipkart.,5
